iter	Logloss
0	0.6882414993
1	0.6830190599
2	0.6772674906
3	0.6740513442
4	0.669509758
5	0.6643639583
6	0.65941501
7	0.6550691945
8	0.6511537806
9	0.647199809
10	0.6419165506
11	0.6368806747
12	0.6336410566
13	0.6291764127
14	0.623804368
15	0.618685671
16	0.6149789956
17	0.6109698677
18	0.6073033492
19	0.6031705516
20	0.5997521074
21	0.5967843809
22	0.5931670105
23	0.5898423668
24	0.5848815745
25	0.5804452437
26	0.5766640034
27	0.5729782494
28	0.5701265848
29	0.5659631832
30	0.5635624094
31	0.5613321191
32	0.5580151263
33	0.5545430386
34	0.5515775167
35	0.547696381
36	0.5430950132
37	0.54017704
38	0.5376311997
39	0.5348397922
40	0.5318914743
41	0.5284436796
42	0.5255432129
43	0.5222974999
44	0.5197501034
45	0.5174236352
46	0.5146861306
47	0.5125552602
48	0.5097869787
49	0.5078586654
50	0.5050191474
51	0.5014535618
52	0.499659984
53	0.4976587052
54	0.4944334381
55	0.4926440533
56	0.4900284462
57	0.487440763
58	0.4848474605
59	0.4831201483
60	0.4797954613
61	0.4776677896
62	0.4754450639
63	0.473307234
64	0.4710076956
65	0.4685689694
66	0.4653842915
67	0.4627798799
68	0.4610216179
69	0.4590422547
70	0.4569835285
71	0.4558985551
72	0.4539630663
73	0.4528611915
74	0.4507688787
75	0.4489653158
76	0.4468167659
77	0.4452050401
78	0.4430264913
79	0.4406702404
80	0.4380357434
81	0.4364024478
82	0.4340790054
83	0.4323316363
84	0.4306159952
85	0.428842604
86	0.427158172
87	0.4255884619
88	0.4238342631
89	0.4220814043
90	0.4211246825
91	0.4201518375
92	0.4188528088
93	0.4172261268
94	0.4155511181
95	0.4137268066
96	0.412669325
97	0.4115347281
98	0.4098967209
99	0.408783348
100	0.4077050747
101	0.4058524502
102	0.4043334442
103	0.4027617889
104	0.4014804397
105	0.4003466641
106	0.3991991859
107	0.3977543558
108	0.396739106
109	0.3955302036
110	0.3942302239
111	0.3930894457
112	0.3920155814
113	0.3905975947
114	0.3894092246
115	0.3884441603
116	0.3875773487
117	0.3867492676
118	0.3855283915
119	0.3841039641
120	0.3831170706
121	0.3822362106
122	0.380828771
123	0.3796608036
124	0.3785522288
125	0.3776938463
126	0.3767995861
127	0.3754475623
128	0.374185319
129	0.3732630916
130	0.372231632
131	0.3712117138
132	0.3700936293
133	0.3693439603
134	0.3684813416
135	0.3674884829
136	0.3663472292
137	0.3652344615
138	0.3640096951
139	0.3630586792
140	0.3621282821
141	0.361498522
142	0.3609272036
143	0.3602600962
144	0.3595288198
145	0.3583289517
146	0.3574522629
147	0.3565754661
148	0.355560346
149	0.3549173804
150	0.3541814356
151	0.3533212375
152	0.3524408746
153	0.3515811304
154	0.3506570875
155	0.3499209698
156	0.3490097867
157	0.3482333175
158	0.3475570463
159	0.3469450521
160	0.3460385158
161	0.3453194075
162	0.344732679
163	0.3438215175
164	0.3428024206
165	0.3419570707
166	0.3410368317
167	0.340186446
168	0.3392608686
169	0.3386748749
170	0.3378790404
171	0.3370737395
172	0.336341966
173	0.3355123504
174	0.3348503869
175	0.3341724082
176	0.3333154089
177	0.3324588851
178	0.3318168705
179	0.3311657784
180	0.3304668135
181	0.3298751356
182	0.3291459556
183	0.3283700484
184	0.3275534654
185	0.3267331002
186	0.326077599
187	0.3252298069
188	0.3247322104
189	0.3241066217
190	0.3235666853
191	0.3229597486
192	0.3223353054
193	0.3216570889
194	0.3211584118
195	0.3207052517
196	0.320082624
197	0.3192642904
198	0.3187901656
199	0.3179507377
200	0.3175894329
201	0.3170689051
202	0.3165777277
203	0.3160347223
204	0.3157360952
205	0.3151061407
206	0.3146337882
207	0.3140842773
208	0.3134593585
209	0.3129112741
210	0.3124204641
211	0.3118296507
212	0.3113149151
213	0.3107874063
214	0.3102438173
215	0.3094709791
216	0.3090113567
217	0.3084791794
218	0.3079559283
219	0.3075051024
220	0.3070006114
221	0.3064285365
222	0.3058407705
223	0.3053544993
224	0.3047158995
225	0.3041204609
226	0.3036117338
227	0.3029971677
228	0.3025057093
229	0.3021379206
230	0.3016309657
231	0.3010824706
232	0.3007316265
233	0.3002464792
