FinalWgt,CR1,CR2,BTR3,BTR4,CR5,CR6,CR7,CR8,CR9,CR10,CR11,CR12,CR13,CR14,BTR15,BTR16,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,BTR28,CR27,CR28,BTR31,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,SLR1,SLR6,SLR7,SLR8,SLR9,BTR51,SLR12,SLR14,SLR15,SLR16,SLR17,OR1,BTR58,BTR59,BTR60,Stratum,PSU
4.310052574,2,1,1,3,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,1,3,3,1,1,2,2,2,1,1,4,3,5,1,1,1,1,1,1,2,4,4,1,3,2,1,2,3,201301001,1
4.310052574,3,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,4,2,2,1,1,1,8,1,1,1,1,1,1,3,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,3,4,3,2,1,1,201301001,1
4.310052574,3,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,4,2,2,1,1,1,8,1,2,3,3,2,1,3,2,2,1,1,4,2,5,1,1,1,1,1,1,3,1,4,3,5,1,1,1,1,201301001,1
4.310052574,3,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,8,1,1,1,1,2,2,2,2,2,1,1,4,3,,1,1,1,1,1,1,1,1,4,3,5,3,6,6,1,201301001,1
4.310052574,3,1,1,6,2,1,1,1,2,2,1,1,,,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,4,1,3,3,2,2,2,2,2,2,1,1,1,2,4,1,1,1,1,1,1,3,1,1,2,4,3,7,6,1,201301001,1
4.310052574,4,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,4,2,2,1,1,1,8,1,1,1,1,1,1,3,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,3,5,3,2,1,1,201301001,1
4.310052574,4,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,3,3,1,2,1,1,1,2,1,1,4,3,5,1,1,1,1,1,1,3,1,1,3,5,1,4,1,2,201301001,1
4.310052574,4,1,1,3,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,3,2,2,1,1,1,8,1,2,1,3,2,2,1,2,2,1,1,1,2,4,1,1,1,1,1,1,1,3,4,2,1,3,3,8,2,201301001,1
3.904404612,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,2,1,3,2,2,3,2,2,1,1,4,3,4,1,1,1,1,1,1,1,1,4,3,4,1,8,3,1,201301001,2
3.904404612,1,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,3,2,2,1,1,1,8,2,1,3,2,3,3,3,2,2,1,1,4,3,5,1,1,1,1,1,1,3,1,4,3,4,3,5,4,,201301001,2
3.904404612,1,2,1,3,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,5,5,1,4,2,2,1,1,1,8,1,2,1,1,2,1,3,1,2,1,2,3,1,5,1,1,1,1,1,1,3,1,3,1,3,3,4,2,1,201301001,2
3.904404612,1,2,1,4,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,4,2,2,1,1,1,8,1,2,1,1,2,3,2,2,2,1,1,3,3,5,1,1,1,1,1,1,1,1,3,2,5,3,7,6,1,201301001,2
3.904404612,2,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,3,2,2,1,1,1,8,1,2,1,1,2,3,2,2,2,1,1,3,3,5,1,1,1,1,1,1,1,1,3,3,5,3,7,5,1,201301001,2
3.904404612,2,2,1,2,1,5,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,6,1,1,8,1,2,2,1,2,2,2,2,2,2,1,3,3,4,1,2,3,2,6,1,2,2,3,3,4,3,7,7,1,201301001,2
3.904404612,2,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,2,3,3,3,3,3,1,1,2,1,1,4,2,5,1,1,1,1,1,1,3,1,3,2,5,3,6,6,1,201301001,2
3.904404612,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,4,2,2,1,1,1,8,1,1,1,1,2,1,3,2,2,1,1,3,2,5,1,1,1,1,1,1,1,1,4,2,5,3,3,2,1,201301001,2
3.904404612,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,8,1,3,3,2,3,3,3,2,2,1,1,3,1,5,1,1,1,1,1,1,3,1,3,1,5,1,8,8,1,201301001,2
3.904404612,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,8,1,1,3,3,2,2,3,2,2,1,1,3,3,4,1,1,4,1,1,1,3,1,1,3,4,1,7,4,1,201301001,2
3.904404612,2,2,1,3,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,8,2,3,3,3,2,3,2,2,2,1,1,1,3,4,2,4,4,4,6,1,3,1,1,3,5,,,,,201301001,2
3.904404612,2,2,1,4,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,8,1,1,3,2,2,2,3,2,2,1,1,3,3,5,1,1,1,1,1,1,3,1,3,3,5,5,8,8,8,201301001,2
3.904404612,2,2,1,4,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,5,1,1,3,3,2,1,2,2,2,1,1,1,3,5,1,2,1,1,1,1,3,1,1,3,5,1,8,8,8,201301001,2
3.904404612,2,2,1,5,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,1,1,4,3,4,1,1,1,1,1,1,1,1,1,3,4,1,5,1,1,201301001,2
3.904404612,2,2,1,5,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,4,1,1,1,1,1,8,1,2,3,2,2,2,3,2,2,1,1,4,2,5,1,1,1,1,1,1,3,1,4,2,5,3,8,8,1,201301001,2
3.904404612,3,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,4,2,2,1,1,1,8,1,2,1,1,2,3,3,2,2,1,1,4,1,5,1,1,1,1,1,1,1,1,1,1,4,3,3,2,1,201301001,2
3.904404612,3,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,8,1,1,3,3,2,3,3,2,2,1,1,4,3,4,1,1,1,1,1,1,3,1,4,3,4,1,4,4,1,201301001,2
3.904404612,4,2,1,3,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,1,1,1,2,3,3,2,2,1,1,4,2,5,1,1,1,1,1,1,3,1,3,2,5,3,8,8,2,201301001,2
3.904404612,4,2,1,3,2,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,4,2,2,1,3,1,8,1,1,1,1,2,2,2,2,2,1,1,4,3,4,1,1,1,1,1,1,3,4,4,2,4,3,8,4,5,201301001,2
3.904404612,5,2,1,3,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,8,1,3,3,3,2,3,3,2,2,1,1,3,3,5,1,1,1,1,1,1,3,1,3,3,5,5,8,8,8,201301001,2
3.904404612,5,2,1,3,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,3,1,8,1,1,1,1,2,2,2,2,2,1,1,4,3,4,1,1,1,1,1,1,3,4,,1,4,3,5,4,5,201301001,2
4.440660228,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,8,1,1,1,3,1,1,2,2,1,4,,3,3,5,5,1,1,1,1,1,1,1,1,1,5,3,7,7,1,201301001,2
4.440660228,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,4,1,1,1,1,1,8,1,2,3,2,2,2,3,2,2,1,1,4,2,5,1,1,1,1,1,1,3,1,4,2,5,3,5,5,1,201301001,2
4.440660228,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,5,5,2,4,2,2,1,1,1,8,1,2,3,1,2,2,3,1,2,1,1,4,1,5,1,1,1,1,1,1,3,1,3,3,5,3,8,8,6,201301001,2
4.440660228,2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,2,3,1,3,2,1,3,2,2,1,1,3,2,5,1,1,1,1,1,1,1,1,4,2,5,3,8,6,1,201301001,2
4.440660228,2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,2,3,1,3,2,1,3,2,2,1,1,3,2,5,1,1,1,1,1,1,1,1,4,2,5,3,8,8,1,201301001,2
4.440660228,2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,2,3,3,1,2,2,3,2,2,1,1,4,3,5,1,1,1,1,1,1,3,1,4,3,5,1,8,8,2,201301001,2
4.440660228,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,2,1,3,2,2,1,1,1,8,2,1,3,2,3,3,2,2,2,1,1,3,1,5,1,1,1,1,1,1,3,1,4,3,5,1,8,8,8,201301001,2
4.440660228,2,1,1,4,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,8,2,3,3,3,3,3,3,2,2,1,1,3,2,5,1,1,2,1,1,1,3,1,3,2,5,3,8,8,8,201301001,2
4.440660228,2,1,1,5,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,5,1,1,3,1,2,1,1,1,2,1,,1,3,5,1,2,1,1,1,1,3,1,3,3,5,3,7,7,1,201301001,2
4.440660228,3,1,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,3,3,2,4,2,2,1,1,1,8,1,2,3,1,2,2,3,2,2,1,1,3,3,5,1,1,1,1,1,1,3,1,4,3,5,3,1,1,1,201301001,2
4.440660228,4,1,1,1,1,6,2,4,2,2,2,2,1,2,2,1,1,2,3,3,1,1,1,1,3,2,2,3,2,2,4,2,3,2,1,2,1,2,2,2,2,2,2,2,4,6,3,3,3,3,5,2,2,3,2,4,1,1,1,1,201301001,2
4.440660228,4,1,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,2,3,2,4,2,2,1,1,1,8,1,3,3,1,2,2,3,2,2,1,1,4,3,5,1,1,1,1,1,1,3,1,4,3,5,1,8,8,1,201301001,2
4.333096452,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,,,1,1,1,8,1,3,3,2,3,3,3,2,2,1,1,3,2,4,1,1,1,1,1,1,3,1,3,2,4,3,8,8,1,201301001,3
4.333096452,3,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,3,2,1,4,2,2,1,3,1,3,1,1,3,1,1,1,3,2,2,1,1,4,2,5,1,1,1,1,1,1,3,1,4,2,5,1,2,3,1,201301001,3
4.333096452,3,1,2,3,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,8,1,1,3,1,3,1,3,,2,1,1,4,2,5,1,1,1,1,1,1,3,1,4,2,5,3,7,6,1,201301001,3
4.333096452,3,1,2,4,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,3,3,1,3,2,3,2,3,6,1,1,3,3,3,1,1,7,5,8,201301001,3
4.333096452,4,1,2,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,8,1,3,3,2,2,3,1,1,2,1,1,4,2,5,1,1,1,1,1,1,3,1,1,2,5,3,8,8,1,201301001,3
4.333096452,4,1,2,2,2,1,1,1,2,2,1,1,2,2,,1,2,1,1,1,2,2,2,2,4,1,1,1,1,1,8,1,1,2,1,2,3,1,1,2,1,1,4,2,5,1,1,1,1,1,1,2,1,3,2,4,1,1,1,2,201301001,3
4.333096452,4,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,8,1,1,2,1,3,1,3,2,2,1,1,4,2,5,1,1,1,1,1,1,1,1,4,2,5,3,8,8,5,201301001,3
4.333096452,4,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,8,2,3,3,3,2,3,2,2,2,1,1,4,2,5,1,1,1,1,1,1,3,1,1,2,5,1,2,1,4,201301001,3
4.333096452,5,1,2,1,1,4,2,2,2,2,2,2,2,2,2,2,3,3,3,4,1,2,1,1,4,2,2,7,1,1,8,1,1,1,2,3,1,3,2,2,1,1,1,,4,3,3,3,3,4,7,3,1,4,2,4,1,1,1,1,201301001,3
4.333096452,5,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,8,1,1,1,2,3,3,3,2,2,1,1,4,2,5,1,1,1,1,1,1,3,1,1,2,5,3,1,1,1,201301001,3
4.333096452,5,1,2,3,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,4,2,2,1,1,1,8,2,3,3,3,2,3,3,2,2,1,1,4,2,5,1,1,1,1,1,1,3,1,4,2,5,1,4,1,1,201301001,3
4.333096452,6,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,1,1,4,1,2,2,1,2,2,3,2,2,1,1,1,3,5,1,1,1,1,1,1,2,1,1,3,5,4,7,5,8,201301001,3
4.405992271,2,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,4,1,2,2,1,2,3,2,2,2,1,1,2,3,5,1,1,1,1,1,1,2,1,2,1,5,3,4,4,1,201301001,3
4.405992271,2,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,3,3,1,2,3,3,2,2,1,1,3,3,5,1,1,1,1,1,1,3,1,3,3,5,1,5,5,1,201301001,3
4.405992271,2,2,2,2,2,1,1,1,2,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,8,1,3,3,1,2,1,2,2,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,3,6,6,1,201301001,3
4.405992271,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,2,3,3,3,2,3,3,2,2,1,1,3,3,4,1,1,1,1,1,1,3,1,3,3,4,3,8,8,1,201301001,3
4.405992271,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,8,1,1,1,1,2,3,3,2,1,1,1,3,3,5,1,1,1,1,1,1,1,1,3,3,5,1,6,5,1,201301001,3
4.405992271,2,2,2,3,2,1,1,1,2,2,1,,2,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,3,3,1,2,3,3,2,2,1,1,3,3,5,1,1,1,1,1,1,3,1,3,3,4,1,5,4,1,201301001,3
4.405992271,2,2,2,4,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,4,1,2,1,1,1,8,1,1,1,1,1,2,2,2,2,1,1,4,2,5,5,4,1,3,1,1,1,2,1,3,4,1,8,1,8,201301001,3
4.405992271,3,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,3,4,1,4,2,2,1,1,1,,1,1,1,1,2,2,3,2,2,1,1,4,1,5,1,1,1,1,1,1,3,1,1,1,4,1,2,8,1,201301001,3
4.405992271,3,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,8,1,1,1,1,2,3,3,2,2,1,1,3,3,5,1,1,1,1,1,1,1,1,3,3,5,1,7,5,1,201301001,3
4.405992271,3,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,4,2,2,1,1,1,6,1,2,2,3,2,2,1,1,2,1,1,4,3,5,1,1,1,1,1,1,2,1,4,3,5,3,6,4,1,201301001,3
4.405992271,3,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,3,2,2,4,2,2,1,1,1,8,2,2,3,2,3,3,3,2,2,1,1,2,2,5,1,1,3,3,1,1,1,1,4,2,5,4,1,1,2,201301001,3
4.405992271,3,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,2,1,3,1,3,2,2,1,1,4,2,5,1,1,1,1,1,1,2,1,4,2,5,1,6,1,1,201301001,3
4.405992271,3,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,3,5,2,4,1,1,1,1,1,8,1,2,2,1,3,3,3,2,2,1,1,4,2,5,1,1,1,1,1,1,2,1,4,2,2,,7,1,8,201301001,3
4.405992271,3,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,8,1,2,3,1,2,1,2,2,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,,3,5,6,1,201301001,3
4.405992271,3,2,2,3,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,4,1,2,1,1,1,8,1,2,1,1,2,2,2,2,2,1,1,4,3,5,4,4,1,3,1,1,1,2,4,3,5,1,6,1,1,201301001,3
4.405992271,3,2,2,3,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,3,1,3,2,2,1,1,1,8,1,2,1,1,2,2,3,2,2,1,1,4,2,5,1,1,1,1,1,1,1,1,4,3,5,3,4,5,1,201301001,3
4.405992271,3,2,2,3,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,2,2,1,2,2,3,2,2,1,1,4,2,4,1,1,1,1,1,1,1,1,4,2,4,1,7,5,1,201301001,3
4.405992271,4,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,4,2,2,1,3,1,6,1,3,3,1,2,3,3,2,2,1,1,2,3,4,1,1,1,1,1,1,3,1,1,3,4,3,5,4,1,201301001,3
4.405992271,4,2,2,3,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,7,1,2,1,2,2,2,2,2,2,1,1,2,2,5,1,1,1,1,1,1,1,1,2,3,5,1,2,1,2,201301001,3
4.405992271,5,2,2,2,2,1,1,1,,,1,1,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,,8,2,2,1,3,2,2,3,2,2,1,1,2,2,5,1,1,3,3,1,1,1,1,4,2,5,4,1,1,2,201301001,3
3.077020256,3,2,3,4,1,4,,,,,2,1,2,2,1,2,2,2,2,6,1,3,2,2,4,1,1,6,1,1,8,1,1,3,1,2,2,3,2,2,1,1,3,1,,2,1,2,1,2,1,1,2,2,1,1,3,3,2,1,201301001,4
3.077020256,4,2,3,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,3,2,2,4,2,2,1,1,1,1,1,1,3,1,2,1,2,2,2,1,1,3,3,5,1,1,1,1,1,1,3,1,3,3,5,4,7,5,1,201301001,4
3.077020256,4,2,3,2,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,4,2,1,4,1,1,1,1,1,2,1,2,3,1,2,2,3,2,2,1,1,3,2,4,1,1,1,1,1,1,2,1,3,2,5,3,5,5,1,201301001,4
3.077020256,5,2,3,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1,8,1,3,1,2,3,1,3,2,2,1,1,3,3,5,5,2,3,3,4,1,1,1,3,3,4,3,1,1,1,201301001,4
3.077020256,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,4,2,4,1,1,1,1,1,1,1,2,3,1,2,3,3,2,2,1,1,3,2,5,1,1,1,1,1,1,3,1,3,2,5,1,4,1,1,201301001,4
3.077020256,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,3,5,2,4,1,2,1,1,1,1,1,2,3,1,2,3,3,2,2,1,1,3,2,5,1,1,1,1,1,1,3,1,4,2,5,4,1,1,1,201301001,4
3.077020256,5,2,3,2,2,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,2,2,1,4,1,1,1,1,1,8,1,3,1,2,3,3,2,2,2,1,1,3,3,5,5,2,3,3,4,1,1,1,3,3,5,2,1,1,1,201301001,4
