FinalWgt,BTR1,CR2,BTR3,BTR4,BTR5,CR5,CR6,CR7,CR8,CR9,CR10,BTR12,BTR13,CR11,CR12,BTR16,CR13,CR14,SLR1,SLR2,SLR3,SLR4,SLR5,SLR6,SLR7,SLR8,BTR27,BTR28,SLR11,SLR14,SLR15,SLR17,BTR33,BTR34,BTR35,BTR36,BTR37,CR15,CR16,CR17,OR12,BTR42,BTR43,CR19,CR20,CR21,CR22,CR23,CR24,CR25,BTR51,CR27,CR28,BTR54,OR22,OR23,BTR57,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,OR45,OR46,OR60,CR39,CR40,CR41,CR42,CR43,BTR75,Stratum,PSU
10.15816816,7,2,4,1,2,1,6,7,3,1,2,2,6,4,8,7,1,2,6,7,3,3,3,4,1,4,3,6,2,4,4,2,1,1,1,2,7,3,3,4,2,8,3,5,5,5,1,4,1,1,2,3,3,2,2,4,2,1,1,2,1,2,3,1,2,2,1,4,3,4,4,4,1,,,201901001,1
10.15816816,7,2,4,1,2,1,7,1,1,2,2,1,1,2,2,1,,,4,2,2,2,2,2,2,2,7,2,3,4,1,4,1,2,2,2,7,2,2,2,6,6,7,1,1,1,2,4,2,2,,1,1,1,2,5,8,1,1,3,3,3,1,2,2,1,4,1,1,1,1,4,3,4,1,201901001,1
10.43487043,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,5,8,1,2,1,1,2,2,3,2,2,4,1,4,1,1,4,2,5,1,201901001,1
10.43487043,2,2,2,1,3,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,5,8,1,1,1,2,2,3,3,2,2,1,2,3,1,1,3,3,5,1,201901001,1
10.43487043,2,2,2,1,3,2,1,1,1,2,2,,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,3,5,2,2,1,1,1,2,1,3,2,2,1,1,4,4,4,3,3,5,3,201901001,1
10.43487043,3,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,2,1,3,1,1,1,1,1,1,1,1,3,2,2,4,1,1,1,1,1,1,3,5,8,2,3,3,3,2,3,2,2,2,1,2,4,1,1,2,3,5,1,201901001,1
10.43487043,3,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,3,5,8,1,1,1,3,2,1,3,2,2,1,1,3,1,1,3,3,5,1,201901001,1
10.43487043,3,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,5,8,1,2,2,1,2,3,3,2,2,1,1,3,1,1,4,2,4,3,201901001,1
10.43487043,3,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,5,3,2,3,1,3,2,3,3,2,2,1,1,3,1,1,3,3,5,1,201901001,1
10.43487043,3,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,2,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,1,1,1,2,1,1,1,3,3,3,2,1,3,2,2,1,1,4,1,1,3,2,,,201901001,1
10.43487043,3,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,2,1,2,1,1,1,1,1,1,1,1,3,2,2,4,1,1,1,1,1,1,2,5,8,2,3,1,2,3,2,3,2,2,1,2,4,1,1,4,3,5,1,201901001,1
10.43487043,3,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,2,1,5,1,1,1,1,1,1,1,1,2,1,1,3,2,1,1,1,1,1,3,5,8,1,1,1,2,2,3,3,2,2,1,1,3,2,2,2,3,3,3,201901001,1
10.43487043,3,2,2,1,3,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6,1,3,1,2,5,1,4,1,5,1,2,1,1,1,1,1,1,5,5,1,4,1,1,1,1,1,1,1,2,1,1,2,3,3,2,2,3,2,2,1,2,4,2,4,3,1,4,3,201901001,1
10.43487043,3,2,2,1,4,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,5,1,2,1,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,3,5,8,2,3,3,1,2,3,2,2,2,1,2,3,1,1,4,3,5,1,201901001,1
10.43487043,3,2,2,1,4,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,1,1,1,1,1,1,2,4,4,1,3,1,1,1,1,1,1,2,5,8,1,2,1,1,2,2,3,2,2,5,1,4,1,1,4,3,5,1,201901001,1
10.43487043,4,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,2,1,1,1,2,,1,2,1,1,2,2,1,1,3,1,1,1,2,5,3,201901001,1
10.43487043,4,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,5,8,1,2,1,1,2,2,3,2,2,1,1,4,1,1,4,3,5,3,201901001,1
10.43487043,4,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,4,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,,1,1,,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,4,2,5,2,201901001,1
10.43487043,4,2,2,1,3,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,4,5,2,1,2,1,1,1,1,1,1,1,1,1,3,4,2,4,2,1,1,1,1,1,3,5,8,1,1,3,1,2,3,2,2,2,3,1,3,1,1,3,3,5,1,201901001,1
10.43487043,4,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,3,5,8,2,3,3,2,3,3,2,2,2,1,1,3,1,1,4,2,5,1,201901001,1
10.43487043,5,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,6,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,3,5,2,2,1,1,1,2,1,3,2,2,1,2,4,1,1,1,1,5,3,201901001,1
10.43487043,5,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,3,3,3,6,5,1,1,4,4,1,2,1,7,1,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,2,5,8,1,2,2,2,2,2,2,2,2,1,1,2,1,2,4,3,4,3,201901001,1
13.72422941,4,1,4,1,2,1,5,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,6,2,2,2,5,7,4,1,2,2,2,4,1,1,1,1,1,1,3,5,8,1,2,1,1,3,3,3,2,2,1,2,3,1,1,1,3,5,1,201901001,1
13.72422941,5,1,,1,3,2,1,1,1,2,2,1,1,2,1,1,1,2,5,1,1,2,2,2,3,2,7,1,1,1,2,4,1,1,1,1,7,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,2,2,2,3,1,2,2,1,2,3,2,2,2,1,1,3,1,1,3,1,5,1,201901001,1
13.72422941,5,1,4,1,2,1,6,5,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,2,1,6,6,3,3,3,3,5,4,1,1,2,1,4,1,1,5,3,1,2,3,5,2,1,3,2,1,2,3,3,2,2,1,3,4,2,3,4,1,1,1,201901001,1
13.72422941,5,1,4,1,3,1,5,5,4,1,1,5,4,3,4,3,1,1,6,5,4,3,4,3,3,3,7,5,1,3,3,3,1,2,1,6,4,3,3,3,3,3,7,1,2,2,1,4,1,1,2,3,3,2,3,3,2,1,3,1,3,2,2,3,2,2,1,3,3,3,3,3,3,1,1,201901001,1
13.72422941,5,1,4,1,3,1,6,4,2,2,2,1,1,2,2,7,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,5,1,5,2,3,3,3,2,8,7,1,5,5,1,2,2,2,2,2,3,2,2,2,2,1,1,1,3,2,2,3,2,2,1,2,2,2,3,4,3,3,1,201901001,1
13.72422941,6,1,4,,2,1,5,4,2,2,2,1,1,2,6,7,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,6,2,3,2,3,6,3,1,2,1,1,4,1,1,1,1,1,1,2,3,2,2,1,1,1,1,2,1,1,2,1,2,3,1,1,1,2,5,1,201901001,1
13.72422941,6,1,4,1,2,1,6,2,3,2,2,1,1,2,2,7,1,1,6,6,4,3,3,3,3,4,3,2,2,3,1,1,1,1,1,3,7,3,3,3,3,5,2,1,2,2,1,4,1,1,2,2,3,2,3,3,3,2,1,2,1,2,3,3,2,2,1,2,2,3,1,2,2,1,1,201901001,1
13.72422941,6,1,4,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,4,1,1,1,1,1,3,3,3,1,1,2,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,3,5,8,2,3,1,3,1,1,1,1,2,1,1,4,1,1,3,3,4,1,201901001,1
13.72422941,6,1,4,1,3,1,6,1,1,1,1,6,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,6,2,3,3,3,3,2,1,1,1,1,4,1,1,1,1,1,2,3,2,8,1,2,1,1,2,3,1,1,2,1,2,3,2,2,1,1,3,1,201901001,1
13.72422941,6,1,4,1,3,1,6,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,3,2,8,1,2,2,1,1,3,2,1,2,1,2,3,1,1,3,2,5,3,201901001,1
13.72422941,6,1,4,1,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,8,1,3,2,2,2,3,3,2,2,1,2,3,1,1,3,3,5,1,201901001,1
13.72422941,6,1,4,1,4,1,6,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,1,5,7,2,2,2,6,8,6,1,1,1,2,4,1,1,1,1,1,2,2,3,2,2,1,1,1,1,3,2,2,2,5,2,3,1,1,3,3,5,1,201901001,1
13.72422941,6,1,4,1,6,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,5,8,1,2,3,1,2,3,2,2,2,1,2,3,1,1,3,3,5,1,201901001,1
13.72422941,6,,4,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,4,3,3,2,4,1,2,1,1,1,1,1,2,4,1,1,1,1,2,2,2,2,2,2,2,4,1,1,1,,4,1,201901001,1
13.72422941,7,1,4,1,2,1,6,1,1,2,2,1,1,1,1,1,1,1,6,7,4,2,2,3,3,3,3,3,2,2,3,4,1,1,1,1,7,2,3,2,3,3,3,1,2,2,2,4,1,1,1,1,1,2,2,1,8,1,2,2,1,2,3,3,2,2,3,3,3,1,1,3,3,5,3,201901001,1
13.72422941,7,1,4,1,3,1,6,3,2,1,2,6,2,2,2,6,1,1,6,7,7,3,3,3,3,3,5,2,3,3,3,3,1,6,1,4,7,1,3,3,2,8,3,1,1,2,1,4,1,1,2,3,3,2,2,4,3,1,1,1,2,3,3,3,2,2,1,3,3,3,3,3,3,4,1,201901001,1
13.72422941,7,1,4,1,3,1,7,2,2,2,2,7,1,2,2,7,2,2,1,1,1,1,1,1,1,1,1,1,2,1,4,4,1,6,1,5,5,3,4,3,2,8,6,1,5,5,1,4,2,2,5,3,1,2,2,3,3,1,2,1,1,2,3,3,2,2,1,2,2,3,3,4,3,4,1,201901001,1
13.72422941,8,1,4,1,1,1,6,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,3,1,3,1,1,1,1,1,3,2,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,5,8,1,1,2,3,3,3,1,2,2,1,1,3,1,1,,3,4,3,201901001,1
13.72422941,8,1,4,1,6,1,4,5,4,1,1,6,3,2,4,7,1,1,6,7,6,4,3,3,3,4,2,2,3,4,2,3,1,5,1,3,5,3,4,4,2,8,2,1,2,2,2,1,2,2,5,3,6,2,2,4,2,1,3,3,3,2,3,1,2,1,1,4,3,3,3,3,1,2,3,201901001,1
14.21669691,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,4,4,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,3,5,8,2,1,1,1,1,3,3,2,2,1,1,3,1,1,4,3,4,1,201901001,1
14.21669691,2,1,2,1,2,1,5,2,2,2,2,1,1,1,2,6,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,5,2,1,1,2,,2,3,2,5,5,6,1,2,2,1,4,1,1,5,2,3,2,2,5,8,1,2,2,1,2,1,3,2,2,1,2,4,2,1,2,3,5,3,201901001,1
14.21669691,2,1,2,1,3,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1,1,3,5,8,1,1,3,1,2,3,3,2,2,1,2,4,1,1,4,2,4,3,201901001,1
14.21669691,3,1,2,1,1,1,5,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,2,1,3,3,2,2,2,2,2,7,5,5,5,1,4,1,1,1,1,1,1,2,1,2,1,1,2,1,2,3,1,2,2,3,2,2,1,1,2,2,5,3,201901001,1
14.21669691,3,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,3,1,8,1,1,2,3,2,3,3,2,2,1,1,3,1,2,2,2,5,1,201901001,1
14.21669691,3,1,2,1,3,1,5,2,2,2,2,1,1,3,2,7,2,2,1,1,1,1,1,1,1,,1,1,1,1,4,4,2,1,1,2,4,3,2,3,3,3,5,1,2,5,1,4,1,1,2,2,3,2,1,3,2,1,2,2,1,2,2,3,2,2,1,3,3,1,1,1,3,4,1,201901001,1
14.21669691,3,1,2,1,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,2,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,1,1,1,2,5,8,1,1,1,1,2,3,2,2,2,2,1,1,1,1,4,3,5,1,201901001,1
14.21669691,3,1,2,1,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,2,1,2,1,1,2,1,1,1,2,5,3,201901001,1
14.21669691,3,1,2,1,4,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,3,5,8,1,3,3,1,2,3,3,2,2,1,3,3,1,1,1,2,5,1,201901001,1
14.21669691,3,1,2,1,6,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,3,5,1,1,1,1,3,2,1,1,2,2,1,2,4,2,1,3,3,4,3,201901001,1
14.21669691,4,1,2,1,2,1,5,7,2,2,2,1,1,2,2,7,2,2,1,1,2,2,2,1,1,1,1,1,2,1,4,5,2,1,1,1,5,4,3,3,3,5,4,1,1,1,1,2,2,2,2,2,3,2,2,5,2,2,2,1,2,2,3,3,2,2,1,3,3,4,2,3,2,1,1,201901001,1
14.21669691,4,1,2,1,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,3,1,1,1,1,1,1,1,1,1,3,2,3,2,2,1,1,1,1,3,5,3,2,3,3,3,2,3,3,2,2,1,1,3,1,1,2,3,5,1,201901001,1
14.21669691,4,1,2,1,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,3,5,8,1,2,3,1,2,1,3,2,2,1,1,3,1,1,3,2,5,3,201901001,1
14.21669691,5,1,2,1,2,1,5,,,2,2,1,1,2,2,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,7,3,3,3,5,3,2,1,1,1,1,4,1,1,1,1,1,1,3,1,2,2,2,1,1,2,2,3,2,2,1,1,3,1,2,2,2,5,1,201901001,1
14.72138661,2,2,3,2,3,,,,5,,,6,1,1,1,1,2,2,1,1,1,1,2,3,1,3,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,3,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,3,1,2,1,1,3,1,1,1,2,3,,201901001,1
16.22164294,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,,1,1,1,2,1,8,1,2,1,1,2,3,3,2,2,4,2,3,1,1,3,1,5,1,201901001,1
16.22164294,1,2,1,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,5,8,1,3,1,2,2,1,3,2,2,4,1,3,1,1,4,3,5,1,201901001,1
16.22164294,1,2,1,1,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,2,2,2,2,1,2,3,3,2,2,1,1,3,1,1,4,2,5,1,201901001,1
16.22164294,1,2,1,1,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,3,5,8,1,1,2,3,1,3,3,2,2,1,1,3,1,1,4,1,5,1,201901001,1
16.22164294,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,3,1,2,1,1,1,1,3,5,8,2,1,3,3,2,3,2,2,2,1,2,2,1,2,4,3,4,1,201901001,1
16.22164294,2,2,1,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,4,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,8,1,3,2,1,2,2,3,2,2,1,1,3,1,1,4,2,5,1,201901001,1
16.22164294,2,2,1,1,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,3,1,1,2,1,2,3,3,1,3,2,2,3,1,4,1,1,3,2,5,2,201901001,1
16.22164294,3,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,5,8,2,1,3,2,2,1,3,2,2,1,1,3,1,1,4,2,4,1,201901001,1
16.22164294,3,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,3,5,8,2,3,3,3,3,3,3,2,2,3,1,3,1,1,4,2,5,1,201901001,1
